[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:26:23] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:26:23] [Server thread/INFO]: Starting minecraft server version 1.15.2
[13:26:23] [Server thread/INFO]: Loading properties
[13:26:23] [Server thread/INFO]: Default game type: SURVIVAL
[13:26:23] [Server thread/INFO]: Generating keypair
[13:26:23] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:26:23] [Server thread/INFO]: Using epoll channel type
[13:26:24] [Server thread/INFO]: Preparing level "world"
[13:27:31] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[13:27:31] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[13:27:32] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[13:27:33] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[13:27:33] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[13:27:33] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[13:27:34] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[13:27:34] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[13:27:35] [Server-Worker-1/INFO]: Preparing spawn area: 29%
[13:27:35] [Server-Worker-1/INFO]: Preparing spawn area: 30%
[13:27:36] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[13:27:36] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[13:27:37] [Server-Worker-1/INFO]: Preparing spawn area: 32%
[13:27:37] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[13:27:38] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[13:27:38] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[13:27:39] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[13:27:39] [Server-Worker-1/INFO]: Preparing spawn area: 36%
[13:27:40] [Server-Worker-1/INFO]: Preparing spawn area: 37%
[13:27:40] [Server-Worker-1/INFO]: Preparing spawn area: 39%
[13:27:41] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[13:27:41] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[13:27:42] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[13:27:42] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[13:27:43] [Server-Worker-1/INFO]: Preparing spawn area: 45%
[13:27:43] [Server-Worker-1/INFO]: Preparing spawn area: 47%
[13:27:44] [Server-Worker-1/INFO]: Preparing spawn area: 48%
[13:27:44] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[13:27:45] [Server-Worker-1/INFO]: Preparing spawn area: 51%
[13:27:45] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[13:27:46] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[13:27:46] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[13:27:47] [Server-Worker-1/INFO]: Preparing spawn area: 55%
[13:27:47] [Server-Worker-1/INFO]: Preparing spawn area: 57%
[13:27:48] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[13:27:48] [Server-Worker-1/INFO]: Preparing spawn area: 59%
[13:27:49] [Server-Worker-1/INFO]: Preparing spawn area: 61%
[13:27:49] [Server-Worker-1/INFO]: Preparing spawn area: 62%
[13:27:50] [Server-Worker-1/INFO]: Preparing spawn area: 63%
[13:27:50] [Server-Worker-1/INFO]: Preparing spawn area: 64%
[13:27:51] [Server-Worker-1/INFO]: Preparing spawn area: 66%
[13:27:51] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[13:27:52] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[13:27:52] [Server-Worker-1/INFO]: Preparing spawn area: 71%
[13:27:53] [Server-Worker-1/INFO]: Preparing spawn area: 73%
[13:27:53] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[13:27:54] [Server-Worker-1/INFO]: Preparing spawn area: 76%
[13:27:54] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[13:27:55] [Server-Worker-1/INFO]: Preparing spawn area: 79%
[13:27:55] [Server-Worker-1/INFO]: Preparing spawn area: 81%
[13:27:56] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[13:27:56] [Server-Worker-1/INFO]: Preparing spawn area: 84%
[13:27:57] [Server-Worker-1/INFO]: Preparing spawn area: 87%
[13:27:57] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[13:27:58] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[13:27:58] [Server-Worker-1/INFO]: Preparing spawn area: 91%
[13:27:59] [Server-Worker-1/INFO]: Preparing spawn area: 93%
[13:27:59] [Server-Worker-1/INFO]: Preparing spawn area: 93%
[13:28:00] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[13:28:00] [Server-Worker-1/INFO]: Preparing spawn area: 98%
[13:28:00] [Server thread/INFO]: Time elapsed: 52189 ms
[13:28:00] [Server thread/INFO]: Done (96.726s)! For help, type "help"
[13:33:02] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2066ms or 41 ticks behind
